"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer","rrppi","hfwh","hnfwh","hhwh"
"2017-01-01",3274326.5,4820021,102.284370048704,102.133265271787,102.884753663915,4.56666666666667,12362100,13428700,0.708333333333333,0.7,0.59,2.44333333333333,5736.32225806452,5241.65096774194,107.324826545464,106.171453561177,78401316,34102976000,28302342
"2017-04-01",3297182.5,4859660.75,102.490063712837,102.399898135652,103.00345883522,4.36666666666667,12472900,13558500,0.958333333333333,0.95,0.89,2.26333333333333,6095.44174603175,5642.92666666667,104.84601166186,107.099250713903,79968580,34867620000,29038040
"2017-07-01",3331266.25,4923148.75,102.852433335511,102.926082736484,103.495860262635,4.33333333333333,12594600,13723000,1.125,1.15333333333333,1.03666666666667,2.24333333333333,6343.13015873016,5881.46888888889,101.195653144505,108.316278770821,81324192,35356762000,29509380
"2017-10-01",3387850.25,5009272,103.468677760963,103.559459846347,104.319201581142,4.16666666666667,12719700,13873800,1.20833333333333,1.20333333333333,1.20666666666667,2.37,6758.38111111111,6266.63936507937,101.595692434078,109.631714820066,83519396,35872141000,29964512
"2018-01-01",3436268.5,5082138.25,104.192958516643,104.21814367229,105.198238690924,4.03333333333333,12791500,13976000,1.45833333333333,1.44666666666667,1.56,2.76,7253.84852459016,6782.40163934426,98.7847020689532,110.358005757258,83907760,36619572000,30640324
"2018-04-01",3472823.5,5145228,104.740562412742,104.954783091245,105.770948948689,3.93333333333333,12867600,14109900,1.70833333333333,1.73666666666667,1.84,2.92,7355.938859375,6880.733859375,101.667128021502,110.486726538043,84885634,37105968000,31064848
"2018-07-01",3500549.75,5199682.5,105.092433128399,105.408143740569,106.195980972011,3.76666666666667,12924000,14229300,1.95833333333333,1.92333333333333,2.04,2.92666666666667,7874.57658730159,7423.52068253968,104.442400592915,111.216491720331,86654123,37543505000,31454437
"2018-10-01",3524799.75,5229466.75,105.490885649511,105.861983708037,106.628326584086,3.83333333333333,13009700,14382600,2.20833333333333,2.22,2.31666666666667,3.03333333333333,7215.11396825397,6862.91396825397,105.635374902892,112.257288694785,82600828,37850201000,31699124
"2019-01-01",3537547.75,5277900,105.704971496081,106.179537424363,106.912993961718,3.86666666666667,13034400,14526200,2.375,2.40333333333333,2.38666666666667,2.65333333333333,7343.62196721311,6963.17852459016,104.36739322612,112.716844464778,88180570,38555068000,32314833
"2019-04-01",3587665.5,5349484.5,106.295711322617,106.728320249339,107.69850152302,3.63333333333333,13232500,14771400,2.375,2.39666666666667,2.3,2.33333333333333,7876.666296875,7550.727265625,105.68895159346,112.447590469885,90088540,39158591000,32867714
