"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer"
"1985-02-01",352840.33276404,51.7667447516517,44.8519894895291,7.2,1299700,2354100,8.74,8.5,8.27,11.51,285.521052631579,,
"1985-03-01",355231.504679775,51.9481306266188,45.0629583958768,7.2,1311000,2366200,8.58,8.58,8.52,11.86,280.796666666667,,
"1985-04-01",355494.422038538,52.001573454584,45.1473459584159,7.3,1318800,2375400,8.58,8.27,7.95,11.43,280.894761904762,,
"1985-05-01",357717.946668448,52.0472303281199,45.231733520955,7.2,1330900,2389500,7.64,7.97,7.48,10.85,287.460454545455,,
"1985-06-01",360509.381293015,52.1814647998436,45.3583148647637,7.4,1350200,2412600,7.95,7.53,6.95,10.16,290.4375,,
"1985-07-01",362703.106757717,52.3459443764356,45.4427024273027,7.4,1369200,2429500,8.61,7.88,7.08,10.31,302.042727272727,,
"1985-08-01",365927.441520695,52.4025845470468,45.5270899898418,7.1,1387800,2444000,7.8,7.9,7.14,10.33,298.247272727273,,
"1985-09-01",368062.70172159,52.4241508257224,45.6114775523809,7.1,1402000,2456400,8.84,7.92,7.1,10.37,287.933157894737,,
"1985-10-01",367531.672399298,52.5593450585256,45.7802526774591,7.1,1414300,2468000,8.08,7.99,7.16,10.24,285.358260869565,,
"1985-11-01",369603.32054417,52.6945431199694,45.9912215838069,7,1424800,2477800,8.54,8.05,7.24,9.78,304.3525,,
"1985-12-01",373888.507056537,52.7965672233191,46.2021904901546,7,1435100,2492100,7.75,8.27,7.1,9.26,320.232380952381,,
"1986-01-01",377030.430845467,52.9253455870743,46.3709656152328,6.7,1438600,2502100,7.75,8.14,7.07,9.19,328.520909090909,131.037727272727,
"1986-02-01",375797.667065615,52.9798100571981,46.2865780526937,7.2,1444900,2512900,7.75,7.86,7.06,8.7,348.786315789474,138.626315789474,
"1986-03-01",374145.402088925,52.9326772211071,46.0334153650764,7.2,1457600,2533100,7.25,7.48,6.56,7.78,368.2315,145.3305,
"1986-04-01",376079.405941635,52.9414142441111,45.8646402399982,7.1,1476100,2557800,6.75,6.99,6.06,7.3,382.541363636364,154.239545454545,
"1986-05-01",379462.957747452,53.1404749847529,45.9912215838069,7.2,1502500,2584800,6.8125,6.85,6.15,7.71,388.487142857143,157.818571428571,
