"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"2007-05-01",142474.593332012,87.4247564006379,87.3,3.6,717090.378195489,914944.759630867,1144324.79331247,4,4.28224347826087,4.336,106.433057513187,5.51244
"2007-06-01",143421.986403042,87.317243791537,87.2,3.7,744212.172579729,944163.650022568,1170249.83252266,4.25,4.37190476190476,4.645,106.10582290131,5.55083
"2007-07-01",144333.282493545,87.2280495134248,86.8,4,749561.715080664,956987.903622396,1179143.36759464,4.25,4.41575909090909,4.582,105.85017086078,5.4254
"2007-08-01",145334.873942271,87.2712704915037,86.6,4,745721.259932553,968828.142564145,1204375.29725682,4.25,4.66050869565217,4.391,105.543388412145,5.46403
"2007-09-01",146657.143564184,88.046002536711,87.2,4.1,756317.095328027,979836.81780415,1216602.61727662,4.25,4.84933,4.357,106.02401424834,5.36252
"2007-10-01",149712.917140406,88.531537571111,87.5,3.7,753771.070565912,979233.17021794,1212865.5002917,4.25,4.83556956521739,4.394,106.02401424834,5.23904
"2007-11-01",150405.274320277,89.2102815860551,88,3.7,756191.609961022,989171.156677388,1225484.8622456,4.25,4.81840454545455,4.208,106.923909431004,5.07696
"2007-12-01",148066.108539317,88.9903305068688,88,3.3,769988.4810244,1001970.10320115,1253150.7746463,4.25,4.91786666666667,4.334,106.525092247778,5.1199
"2008-01-01",150156.915270786,88.9610636475955,88.2,3.2,776612.151902912,1002795.47507823,1272771.04667323,4.25,4.72565217391304,4.149,107.128431063427,5.0624
"2008-02-01",149716.986534178,89.6944019596644,89.3,3.5,788232.120893144,1020881.24873173,1332804.43678918,4.25,4.61476666666667,4.082,107.506796083411,5.0549
"2008-03-01",150087.498195037,90.1496337126585,89.7,3.6,803191.696101161,1027680.84480331,1320294.41635181,4.25,4.80920476190476,4.037,108.774830204436,4.8012
"2008-04-01",151002.447747002,90.5308480622186,90,3.2,789337.217661449,1016936.48765007,1337635.08394897,4.25,4.99568181818182,4.285,109.040708326587,4.7373
"2008-05-01",151109.305611527,91.1477394446005,90.3,3.5,785913.769037903,1022891.43023204,1367865.24548836,4.35,5.14324545454545,4.415,108.324882613105,4.7942
"2008-06-01",151359.346641471,91.7929429806001,90.5,3.7,773803.025225012,1010813.30678695,1355338.63666866,4.35,5.32452380952381,4.824,108.11013489906,4.7936
"2008-07-01",152240.674575322,91.9559681894325,90.3,3.7,769235.800389679,1017162.03188848,1377026.44869985,4.6,5.37890869565217,4.777,107.966969756364,4.7307
"2008-08-01",152470.656916039,92.471716953129,90.4,3.8,771323.106371846,1011675.24796445,1379181.63533196,4.6,5.3833380952381,4.486,106.831874696413,4.9834
"2008-09-01",152931.568508639,93.0233618382529,90.8,3.8,763714.632113724,1009661.35831109,1370871.18050802,4.6,5.41757727272727,4.373,106.596674819126,5.19167
"2008-10-01",152092.867374933,92.8344278186854,90.7,3.6,770610.287392255,1071910.88676399,1453988.21672619,5.5,5.99029565217391,4.427,105.768362207811,5.6029
"2008-11-01",149056.202274446,92.5310388057245,90.4,4.6,775474.657975584,1082511.09476169,1479403.17691306,5,6.075745,4.057,106.013788166719,5.8507
"2008-12-01",147496.430350621,91.8254007941419,90.1,4.2,772248.518331236,1079190.13566477,1474515.68491185,3.75,5.29173913043478,3.5,109.265682122253,5.5746
"2009-01-01",145442.559215234,90.9612976139698,89.8,5.4,770744.671657817,1091305.69259925,1549023.45145301,3,4.44275,3.442,109.194099550905,5.6316
"2009-02-01",145247.753177713,91.420123949281,90.9,5,776549.812383679,1091218.45888266,1588550.69063648,3,3.859535,3.55,109.776986203312,5.8288
"2009-03-01",143805.987607053,91.4475885011279,91.2,5.4,770819.277786322,1080799.15286128,1569824.63065346,2.25,3.27727272727273,3.44,111.177959385413,5.7146
"2009-04-01",142300.169045973,91.0297565825822,91.1,6.2,767605.662242515,1074483.32963919,1586495.01744369,2,2.943,3.499,109.991733917356,5.6501
"2009-05-01",141673.499243488,91.279297472799,91.4,6,774061.98721203,1075468.85907505,1595969.80359332,1.65,2.66565238095238,3.618,110.339420692476,5.4699
"2009-06-01",142879.031710539,91.6960951882707,91.6,7.4,783727.6505412,1070602.11678122,1602711.77812155,1.45,2.34518181818182,3.756,111.290446283245,5.3193
"2009-07-01",143832.74810325,91.7010816453621,91.2,5.8,781847.473846583,1049675.96102992,1607733.631211,1.45,2.06419130434783,3.736,111.024568161095,5.2856
"2009-08-01",144310.598553102,92.358866389138,91.4,7.1,808019.438072878,1064997.65366557,1629142.65420583,1.25,1.93799047619048,3.602,110.380325018961,5.2175
"2009-09-01",144164.653343648,92.6793089741669,91.6,7.2,794519.222773198,1053106.55056925,1649350.06520209,1,1.76246818181818,3.646,111.06547248758,5.1119
"2009-10-01",145629.445804033,92.8204862334189,91.6,7,807164.544289352,1048913.71995551,1633711.11346515,1,1.58281818181818,3.596,111.321124528109,5.0245
"2009-11-01",146142.00606545,92.9055815320681,91.6,7.3,809841.402681894,1043754.44903393,1591701.71853938,1,1.55866666666667,3.622,111.177959385413,4.9897
"2009-12-01",144100.448130517,92.766877895554,91.4,7.5,803552.708447247,1037611.080945,1581452.28470294,0.95,1.55176086956522,3.529,110.11444689681,5.0869
"2010-01-01",146904.631439669,93.1622862595662,91.6,7.5,816377.508732976,1035481.95288198,1558342.95787666,0.8,1.46290476190476,3.568,109.204325632526,5.2155
"2010-02-01",148997.60223102,94.1310187525111,92.7,7.7,822249.518180929,1035363.2005541,1552106.82726319,0.8,1.39265,3.496,108.406691266074,5.4398
"2010-03-01",149475.66632931,94.7875411994716,93.3,7.8,827443.076172919,1031996.27288934,1550946.44182618,0.7,1.37167391304348,3.4,107.803352450425,5.4849
"2010-04-01",150390.784917767,94.9877286575929,93.4,7.7,824774.783392555,1029521.50597916,1558989.83415322,0.7,1.28375,3.343,106.658031308853,5.5517
"2010-05-01",150216.87421288,94.9649486025413,93.4,7.6,827822.099811719,1025080.07876125,1570901.85457051,0.5,1.25198888888889,2.928,104.960501759738,5.919
"2010-06-01",150786.440869352,94.680740657165,93.3,8,826375.311632315,1017000.46792423,1601165.19927178,0.5,1.15197727272727,2.701,103.876537107894,6.0955
"2010-07-01",151949.719633176,94.5432846751613,93.2,7.7,833247.413166965,1021036.23700617,1643860.38495914,0.5,1.13409090909091,2.716,104.837788780284,5.8372
"2010-08-01",150966.257892579,94.9559281764581,93.6,7.6,836651.049788431,1025508.53892051,1606369.74083366,0.5,1.14454545454545,2.446,104.88891918839,5.779
"2010-09-01",155081.722474246,95.3741085527186,93.9,7.6,833593.66990586,1001610.08538627,1447858.19084352,0.5,1.14602272727273,2.395,104.848014861905,5.7026
"2010-10-01",152637.85331101,95.4228826579368,93.8,8.1,825541.62557528,1009272.52603453,1471302.73081628,0.7,1.19130952380952,2.456,106.054692493204,5.3657
"2010-11-01",152605.364102268,95.5752459757722,93.9,7.5,820127.173349328,997745.995335648,1477849.11889369,0.7,1.23872727272727,2.652,105.359318942964,5.4599
"2010-12-01",152882.882586723,95.5690778967969,94,8.2,814927.042232023,988884.099842268,1509087.3817226,0.7,1.21166666666667,3.012,103.57998074088,5.6381
"2011-01-01",153041.880692792,95.4144826152765,94.1,8,802932.778504068,962064.222927116,1338826.17879187,0.7,1.21607142857143,3.052,103.590206822501,5.58
"2011-02-01",153762.980146414,95.8393692136737,95.2,7.8,807755.432960186,972772.493595105,1340659.66160548,0.7,1.23975,3.23,104.674171474345,5.4627
"2011-03-01",155153.039160794,95.7460607999382,95.8,7.9,802693.833963032,971873.543367871,1340306.34627576,0.7,1.30739130434783,3.289,105.430901514312,5.3275
"2011-04-01",154340.88146501,95.3720844950648,96.2,7.3,806381.608810277,971529.251985528,1298680.05160186,0.95,1.41214285714286,3.416,106.167179391037,5.1763
