"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","rrppi","xr_usd","hfwh"
"2011-04-01",70639272,122667576,98.22726590163,97.3809574708029,96.241622126071,4.66666666666667,515667993.553309,797090747.481989,1099374138.12998,1496144519.59105,0.05,0.0666666666666667,1.04977049180328,1.18465573770492,1.9663606557377,9609.36229508197,139.861510442187,98.925519408028,81.7053333333333,1568656200
"2011-07-01",71629072,125260976,98.0709269546508,97.0940773653868,96.3773648935267,4.46666666666667,520972543.51502,801621652.519155,1104949446.04774,1499014961.61121,0.05,0.078,0.918698412698413,1.05788888888889,1.82547619047619,9246.34492063492,146.259025395916,99.5522668221021,77.8185793287567,1545715600
"2011-10-01",72085504,125077504,98.122895910226,97.0624899791189,96.1737507423432,4.46666666666667,525874264.308247,806045220.521203,1110126292.21997,1499538860.76781,0.05,0.0786666666666667,0.883,1.00893442622951,1.74854098360656,8580.64245901639,149.243299712482,98.4425168690291,77.4033333333333,1561865000
"2012-01-01",72455576,126865072,98.1797545558829,97.1057287616337,96.5470433528463,4.5,529811810.782472,811674375.642332,1116458341.13528,1505209753.02111,0.05,0.083,0.866770491803279,0.988737704918033,1.75508196721311,9295.33819672131,144.247321271737,98.78819612531,79.268353968254,1578337600
"2012-04-01",72270752,125039472,97.7936227660217,96.6014660799921,96.3773648935267,4.4,532597911.118084,814945490.421028,1120634062.74765,1503089225.86827,0.05,0.0783333333333333,0.771209677419355,0.891016129032258,1.68441935483871,9026.47467741936,143.651945602633,97.6650102251509,80.1754761904762,1576731400
"2012-07-01",71713528,124382704,97.075371237458,96.4683697759579,96.0040722830236,4.23333333333333,539580187.631522,821179628.251342,1128001010.20308,1508067173.17929,0.05,0.085,0.680936507936508,0.797666666666667,1.62688888888889,8886.42222222222,145.500938363826,98.5171061341026,78.6051867954911,1572824500
"2012-10-01",72235152,124329000,97.3534861711851,96.4630921767429,95.9362008992958,4.16666666666667,543303377.762819,826473149.657438,1134095892.55699,1513392159.98403,0.05,0.0843333333333333,0.64258064516129,0.757209677419355,1.68454838709677,9208.59241935484,137.642719128755,98.2554015471098,81.1128047138047,1613751200
"2013-01-01",73281504,125731048,97.3279635156403,96.2604682050142,95.9701365911597,4.2,551408351.759667,836541017.191102,1144701942.81842,1527075554.59077,0.05,0.0826666666666667,0.60848275862069,0.710534482758621,1.68393103448276,11457.5734482759,119.393160575776,98.9884510131297,92.3715107212476,1642827700
"2013-04-01",73756624,126880472,97.2177509191832,96.2591735262968,96.1398150504793,4.03333333333333,560101866.298021,845882981.266899,1154861382.97438,1547136011.53805,0.05,0.073,0.681612903225806,0.734241935483871,1.57172580645161,13629.3258064516,112.34849815563,99.6244850376898,98.7042037037037,1665257700
"2013-07-01",74305400,128218624,97.4144973655439,96.3475527760304,96.8185288877576,3.93333333333333,567257463.536036,853006116.715354,1163265426.94099,1555532574.04336,,0.0726666666666667,0.714063492063492,0.771984126984127,1.68538095238095,14127.663015873,112.936477853689,100.083678288102,98.9664717348928,1668834100
